HLP,,,
,Tower / Residential BUA (sq.ft),"49,848,934",
,Basement / Parking BUA (sq.ft),,
Sr,Category,Area basis (sq.ft),Consultant Name
,,,
1,Architecture — Residential/Tower,"49,848,934",ACPL
2,Architecture — Basement/Parking,,ACPL
3,Structural Services — Residential/Tower,"49,848,934",AJAY JI
4,Structural Services — Basement/Parking,,AJAY JI
5,MEP Services — Residential/Tower,"49,848,934",V CONSULTIN
6,MEP Services — Basement/Parking,,V CONSULTIN
7,Coordination — Residential/Tower,"49,848,934",ACPL
8,Coordination — Basement/Parking,,ACPL
9,IGBC Rating Consultant,"49,848,934",SHELJA
10,ECBC Compliance Consultant,"49,848,934",SHELJA
11,Landscaping — Concept Design,"49,848,934",
12,Landscaping — Local Architect,"49,848,934",
13,Interior Architect — Clubhouse,"49,848,934",
14,Interior Architect — Typical Flat Units,"49,848,934",
15,Club Interior MEP (additional fees),"49,848,934",V CONSULTIN
,Prinicpal architect,,morphogensis
TOTAL FEE (₹) — excl. GST,,,
Blended Cost per sq.ft (₹),,,
