YPS (LEISURE VALLEY),,,,,
,Tower / Residential BUA (sq.ft),"1,350,000",,,
,Basement / Parking BUA (sq.ft),"400,000",,,
Sr,Category,Area basis (sq.ft),Consultant Name,Add consultant…,
,,,,Rate (₹/sqft),Amount (₹)
1,Architecture — Residential/Tower,"1,350,000",Kataria,24.0,"32,400,000"
2,Architecture — Basement/Parking,"400,000",Kataria,15.0,"6,000,000"
3,Structural Services — Residential/Tower,"1,350,000",Vijay Garg,5.0,"6,750,000"
4,Structural Services — Basement/Parking,"400,000",Vijay Garg,5.0,"2,000,000"
5,MEP Services — Residential/Tower,"1,350,000",AEON,6.2,"8,370,000"
6,MEP Services — Basement/Parking,"400,000",AEON,6.2,"2,480,000"
7,Coordination — Residential/Tower,"1,350,000",Kataria,5.0,"6,750,000"
8,Coordination — Basement/Parking,"400,000",Kataria,5.0,"2,000,000"
9,IGBC Rating Consultant,"1,750,000",AEON,,
10,ECBC Compliance Consultant,"1,750,000",AEON,,
11,Landscaping — Concept Design,"1,750,000",teirra,,
12,Landscaping — Local Architect,"1,750,000",teirra,,
13,Interior Architect — Clubhouse,"1,750,000",zafar,,
14,Interior Architect — Typical Flat Units,"1,750,000",zafar,,
15,Club Interior MEP (additional fees),"1,750,000",,,
TOTAL FEE (₹) — excl. GST,,,,,"66,750,000"
Blended Cost per sq.ft (₹),,,,,₹38.14
