MULANPUR (INFINIA),,,,,,,
,Tower / Residential BUA (sq.ft),"5,032,000",,,,,
,Basement / Parking BUA (sq.ft),"1,509,600",,,,,
Sr,Category,Area basis (sq.ft),Consultant Name,Architect Hafeez Contractor,,Vijay Kataria + V consulting + Delhi Structure + cooper hill,
,,,,Rate (₹/sqft),Amount (₹),Rate (₹/sqft),Amount (₹)
1,Architecture — Residential/Tower,"5,032,000",NEESAR,35.0,"176,120,000",20.0,"100,640,000"
2,Architecture — Basement/Parking,"1,509,600",NEESAR,17.5,"26,418,000",15.0,"22,644,000"
3,Structural Services — Residential/Tower,"5,032,000",,14.0,"70,448,000",5.0,"25,160,000"
4,Structural Services — Basement/Parking,"1,509,600",,14.0,"21,134,400",5.0,"7,548,000"
5,MEP Services — Residential/Tower,"5,032,000",V CONSULTING,4.0,"20,128,000",6.5,"32,708,000"
6,MEP Services — Basement/Parking,"1,509,600",V CONSULTING,4.0,"6,038,400",6.5,"9,812,400"
7,Coordination — Residential/Tower,"5,032,000",NEESAR,6.0,"30,192,000",5.0,"25,160,000"
8,Coordination — Basement/Parking,"1,509,600",NEESAR,6.0,"9,057,600",5.0,"7,548,000"
9,IGBC Rating Consultant,"6,541,600",AEON,,,,
10,ECBC Compliance Consultant,"6,541,600",AEON,,,,
11,Landscaping — Concept Design,"6,541,600",COOPER HILLS,,,121.0,"791,533,600"
12,Landscaping — Local Architect,"6,541,600",,,,,
13,Interior Architect — Clubhouse,"6,541,600",,,,,
14,Interior Architect — Typical Flat Units,"6,541,600",,,,,
15,Club Interior MEP (additional fees),"6,541,600",V CONSULTING,,,,"1,500,000"
TOTAL FEE (₹) — excl. GST,,,,,"359,536,400",,"1,024,254,000"
Blended Cost per sq.ft (₹),,,,,₹54.96,,₹156.58
