DHARMAPUR (VAANA),,,,,
,Tower / Residential BUA (sq.ft),"1,050,000",,,
,Basement / Parking BUA (sq.ft),,,,
Sr,Category,Area basis (sq.ft),Consultant Name,Add consultant…,
,,,,Rate (₹/sqft),Amount (₹)
1,Architecture — Residential/Tower,"1,050,000",KATARIA,32.0,"33,600,000"
2,Architecture — Basement/Parking,,KATARIA,,
3,Structural Services — Residential/Tower,"1,050,000",LOCAL,4.0,"4,200,000"
4,Structural Services — Basement/Parking,,LOCAL,,
5,MEP Services — Residential/Tower,"705,804",V CONSULTING,7.5,"5,293,530"
6,MEP Services — Basement/Parking,,V CONSULTING,,
7,Coordination — Residential/Tower,"1,050,000",KATARIA,5.0,"5,250,000"
8,Coordination — Basement/Parking,,KATARIA,,
9,Typical Villa — 5 BHK,,,,"900,000"
10,Typical Villa — 4 BHK,,,,"750,000"
11,Promoter Villa,,,,"900,000"
12,Site Development,"1,050,000",,,"2,700,000"
13,IGBC Rating Consultant,"1,050,000",,,
14,ECBC Compliance Consultant,"1,050,000",,,
15,Landscaping — Concept Design,"1,050,000",COOPER HILL,85.0,"89,250,000"
16,Landscaping — Local Architect,"1,050,000",,2.0,"2,100,000"
17,Interior Architect — Clubhouse,"1,050,000",,,
18,Interior Architect — Typical Flat Units,"1,050,000",,,
19,Club Interior MEP (additional fees),,V CONSULTING,,"1,200,000"
,Prinicpal architect,,Bentel,,
TOTAL FEE (₹) — excl. GST,,,,,"146,143,530"
Blended Cost per sq.ft (₹),,,,,₹139.18
